ААИР 122128-03 ;  ; 30,72; ААИР
ПМ 12.75 Т. Пластина монтажна ; 30 ; 172,44; Пластины монтажные
ПМ 3.25 Т Пластина монтажна (поперечна) ; 51 ; 24,42; Пластины монтажные
ПМ 3.75 Т Пластина монтажна (поперечна) ; 22 ; 42,48; Пластины монтажные
ПМ 5.25 Т Пластина монтажна (поперечна) ; 52 ; 41,10; Пластины монтажные
ПМ 5.75 Т Пластина монтажна (поперечна) ; 46 ; 71,40; Пластины монтажные
ПМ 6.25 Т. Пластина монтажна ; 28 ; 49,32; Пластины монтажные
ПМ 6.250 Т. Пластина монтажна ; 31 ; 168,42; Пластины монтажные
ПМ 6.75 Т. Пластина монтажна ; 20 ; 85,86; Пластины монтажные
ПМ 7.25 Т Пластина монтажна (поперечна) ;  ; 57,66; Пластины монтажныеПМ 
ПМ 7.75 Т Пластина монтажна (поперечна) ;  ; 100,32; Пластины монтажные
ПМ 8.150 Т. Пластина монтажна ;  ; 140,88; Пластины монтажные
ПМ 8.25 Т. Пластина монтажна ; 44 ; 66,00; Пластины монтажные
ПМ 8.250 Т. Пластина монтажна ; 2 ; 225,00; Пластины монтажные
ПМ 8.75 Т. Пластина монтажна ; 43 ; 114,72; Пластины монтажные
ПМ 9.75 Т. Пластина монтажна ;  ; 129,18; Пластины монтажные
Полка стационарная ПС 1010 Т ;  ; 1 016,97; Пластины монтажные
Профиль шинопровода ПШ 35х1500 ; 5 ; 124,86; Прочее
СМ-11М ;  ; 87,36; СМ / СМГ
СМ-6М ;  ; 48,60; СМ / СМГ
СМ-7М ;  ; 56,40; СМ / СМГ
СМ-8М ;  ; 64,08; СМ / СМГ
СМ-9М ;  ; 71,88; СМ / СМГ
СМГ 10.35М ;  ; 82,98; СМ / СМГ
СМГ 10.35М (1,5) ; 1 ; 82,98; СМ / СМГ
СМГ 12.35М ;  ; 101,40; СМ / СМГ
СМГ 12.35М (1,5) ; 36 ; 101,40; СМ / СМГ
СМГ 14.35М ;  ; 119,94; СМ / СМГ
СМГ 14.35М (1,5) ;  ; 119,94; СМ / СМГ
СМГ 16.35 ;  ; 129,12; СМ / СМГ
СМГ 16.35 (1,5) ;  ; 129,36; СМ / СМГ
СМГ 16.35М ;  ; 138,36; СМ / СМГ
СМГ 16.35М (1,5) ; 42 ; 138,36; СМ / СМГ
СМГ 18.35 ;  ; 147,66; СМ / СМГ
СМГ 18.35 (1,5) ; 76 ; 147,66; СМ / СМГ
СМГ 18.35М ;  ; 156,84; СМ / СМГ
СМГ 18.35М (1,5) ; 47 ; 156,84; СМ / СМГ
СМГ 20.35 ;  ; 166,08; СМ / СМГ
СМГ 20.35 (1,5) ; 45 ; 166,08; СМ / СМГ
СМГ 8.35М ; 17 ; 64,56; СМ / СМГ
СМС-11М ;  ; 84,18; СМ / СМГ
СМС-13М ; 6 ; 99,60; СМ / СМГ
СТ-100.65 (стійка таврова) ; 459 ; 27,18; Прочее
СТ-150.135 (стійка таврова) ; 37 ; 37,44; Прочее
Стойка монтажная СМ 14.50Т ; 8 ; 162,00; Стойки монтажные
Стойка монтажная СМ 14.75Т ; 10 ; 190,38; Стойки монтажные
Стойка монтажная СМ 16.50Т ; 16 ; 186,96; Стойки монтажные
Стойка монтажная СМ 16.75Т ; 16 ; 219,24; Стойки монтажные
Стойка монтажная СМ 18.50Т ; 33 ; 217,20; Стойки монтажные
Стойка монтажная СМ 18.75Т ; 16 ; 248,16; Стойки монтажные
Стойка монтажная СМ 20.50Т ; 37 ; 243,96; Стойки монтажные
Стойка монтажная СМ 20.75Т ; 25 ; 276,96; Стойки монтажные
Стойка монтажная СМ 22.50Т ;  ; 273,00; Стойки монтажные
Стойка монтажная СМ 22.75Т ; 14 ; 305,88; Стойки монтажные
Уголок монтажный (82х20х20мм) ; 130 ; 19,20; Прочее
Уголок универсальный ; 236 ; 35,16; Прочее
Уголок фасадный (40х25х20 мм) ; 166 ; 9,00; Прочее
УЗ ЕР600.Устройство заземления ;  ; 166,44; Устройства заземления
УЗ ЕР800.Устройство заземления ;  ; 206,28; Устройства заземления
УЗ ЕС. Устройство заземления ;  ; 66,00; Устройства заземления
УЗ МКН.Устройство заземления ;  ; 148,86; Устройства заземления
УЗ ЩЭ. Устройство заземления ;  ; 35,64; Устройства заземления
Усилитель монтажной панели УМП 10 ;  ; 95,58; Устройства заземления
Усилитель монтажной панели УМП 12 ;  ; 117,12; Устройства заземления
Усилитель монтажной панели УМП 6 ;  ; 52,62; Устройства заземления
Усилитель монтажной панели УМП 8 ;  ; 74,10; Устройства заземления
Устройство заземления ГРЩ02М ;  ; 206,16; Устройства заземления
Цоколь Ц-1103 МК ;  ; 416,82; Цоколя
Цоколь Ц-1104 ЕР ; 4 ; 442,02; Цоколя
Цоколь Ц-1106 ЕР ;  ; 484,38; Цоколя
Цоколь Ц-1124 ЕР ;  ; 484,50; Цоколя
Цоколь Ц-1126 ЕР ; 1 ; 526,92; Цоколя
Цоколь Ц-153 МК ;  ; 309,12; Цоколя
Цоколь Ц-163 МК ; 4 ; 331,08; Цоколя
Цоколь Ц-164 ЕР ;  ; 356,22; Цоколя
Цоколь Ц-164 МК ; 8 ; 357,18; Цоколя
Цоколь Ц-166 ЕР ;  ; 398,58; Цоколя
Цоколь Ц-173 МК ; 4 ; 352,50; Цоколя
Цоколь Ц-183 МК ; 5 ; 373,80; Цоколя
Цоколь Ц-184 ЕР ;  ; 398,94; Цоколя
Цоколь Ц-184 МК ; 10 ; 399,90; Цоколя
Цоколь Ц-186 ЕР ;  ; 447,24; Цоколя
Цоколь Ц-2.75.24 МК ;  ; 492,18; Цоколя
Цоколь Ц-2104 ЕР ; 1 ; 775,74; Цоколя
Цоколь Ц-2106 ЕР ;  ; 860,52; Цоколя
Цоколь Ц-2124 ЕР ; 2 ; 860,76; Цоколя
Цоколь Ц-2126 ЕР ;  ; 945,54; Цоколя
Цоколь Ц-263 МК ; 4 ; 553,86; Цоколя
Цоколь Ц-264 ЕР ; 5 ; 614,52; Цоколя
Цоколь Ц-264 МК ;  ; 594,36; Цоколя
Цоколь Ц-266 ЕР ; 4 ; 688,98; Цоколя
Цоколь Ц-273 МК ; 6 ; 596,76; Цоколя
Цоколь Ц-283 МК ; 10 ; 641,46; Цоколя
Цоколь Ц-284 ЕР ; 5 ; 689,70; Цоколя
Цоколь Ц-284 МК ; 3 ; 679,86; Цоколя
Цоколь Ц-286 ЕР ; 3 ; 774,48; Цоколя
Щит этажный 2кв. 1ф. ;  ; 1 945,14; Щиты этажные
Щит этажный 2кв. 3ф. ;  ; 1 945,14; Щиты этажные
Щит этажный 2кв. 3ф. (антивандальний) ;  ; 2 137,80; Щиты этажные
Щит этажный 3кв. 1ф. ;  ; 1 945,14; Щиты этажные
Щит этажный 3кв. 3ф. ; 1 ; 1 945,14; Щиты этажные
Щит этажный 3кв. 3ф. (антивандальний) ;  ; 2 137,80; Щиты этажные
Щит этажный 4кв. 1ф. ;  ; 1 945,14; Щиты этажные
Щит этажный 4кв. 1ф. (антивандальний) ;  ; 2 137,80; Щиты этажные
Щит этажный 4кв. 3ф. ;  ; 1 945,14; Щиты этажные
Щит этажный 4кв. 3ф. (антивандальний) ;  ; 2 137,80; Щиты этажные
Щит этажный 5кв. 1ф. ;  ; 2 184,12; Щиты этажные
Щит этажный 5кв. 3ф. ;  ; 2 184,12; Щиты этажные
Щит этажный 5кв. 3ф.(антивандальный) ;  ; 2 393,40; Щиты этажные
Щит этажный 6 кв. 1ф. ;  ; 2 184,12; Щиты этажные
Щит этажный 6кв. 3ф. ;  ; 2 184,12; Щиты этажные
Щит этажный 6кв. 3ф.(антивандальный) ;  ; 2 393,40; Щиты этажные
Щит этажный 7кв. 1ф. ;  ; 2 884,62; Щиты этажные
Щит этажный 7кв. 3ф. ;  ; 2 884,62; Щиты этажные
Щит этажный 7кв. 3ф. (антивандальный) ;  ; 3 215,16; Щиты этажные
Щит этажный 8кв. 1ф. ;  ; 2 884,62; Щиты этажные
Щит этажный 8кв. 3ф. (антивандальный) ;  ; 3 215,16; Щиты этажные
ЩН 40.25.12М ;  ; 615,36; ЩН / ЩУ
ЩН 40.40.12 ;  ; 922,20; ЩН / ЩУ
ЩНИз ;  ; 444,72; ЩН / ЩУ
ЩУ 34.40.12 ;  ; 842,34; ЩН / ЩУ
ЩУ 40.25.12 (7032) ;  ; 686,58; ЩН / ЩУ
Экран боковой 20х223Т. ;  ; 563,34; Экраны
Экран ВР ЭП018301.019 ; 9 ; 125,40; Экраны
Ячейка К1 (ККУ) ; 22 ; 113,40; Ячейки ККУ
Ячейка К2 (ККУ) ; 6 ; 272,46; Ячейки ККУ
Ячейка К3 (ККУ) ; 10 ; 368,40; Ячейки ККУ
Ячейка КО (ККУ) ;  ; 274,02; Ячейки ККУ
2019-08-27 13:58:48
